,com_code,Nom,population,forêt,K2,densité population,densité de foret,temperature,humidity,weather_description,code_dep
71,2B033,Bastia,49376,35945,"18,3092563",2697,1963,"19,14",61,clear sky,2B
72,30007,Alès,44455,0,"22,52710693",1973,0,"18,6",60,broken clouds,30
73,30189,Nîmes,150335,120972,"155,0428317",970,780,"17,98",42,clear sky,30
74,31069,Blagnac,26956,8526,"16,43872834",1640,519,"19,08",48,clear sky,31
75,31149,Colomiers,40627,13696,"20,110222",2020,681,"18,86",48,clear sky,31
76,31157,Cugnaux,20601,0,"12,38544151",1663,0,"18,97",48,clear sky,31
77,31395,Muret,25628,6150,"55,29724751",463,111,"17,39",55,broken clouds,31
78,31424,Plaisance-du-Touch,20320,0,"25,43701453",799,0,"18,62",48,clear sky,31
79,31555,Toulouse,509200,136692,"112,6117326",4522,1214,"18,9",48,clear sky,31
80,31557,Tournefeuille,30029,21042,"17,37474777",1728,1211,"18,59",48,clear sky,31
81,32013,Auch,24115,6540,"70,07768174",344,93,"17,63",69,scattered clouds,32
82,33039,Bègles,31161,32310,"10,84191745",2874,2980,"20,31",66,few clouds,33
83,33063,Bordeaux,265255,443232,"49,53226284",5355,8948,"19,15",63,few clouds,33
84,33069,Le Bouscat,24640,0,"5,251534709",4692,0,"19,22",59,few clouds,33
85,33075,Bruges,20437,95214,"14,18570997",1441,6712,"14,57",80,overcast clouds,33
86,33119,Cenon,27014,0,"5,703831867",4736,0,"19,22",59,few clouds,33
87,33162,Eysines,24691,0,"12,00024288",2058,0,"19,13",59,few clouds,33
88,33192,Gradignan,26190,0,"15,6247133",1676,0,"19,74",63,few clouds,33
89,33199,Gujan-Mestras,22854,0,"49,52166406",461,0,"18,1",63,clear sky,33
90,33243,Libourne,25063,0,"20,62571371",1215,0,"20,32",75,broken clouds,33
91,33249,Lormont,23652,1891,"7,769589953",3044,243,19,59,few clouds,33
92,33281,Mérignac,76532,407514,"47,60954515",1607,8560,"19,09",59,few clouds,33
93,33318,Pessac,67522,0,"38,36735544",1760,0,"19,57",64,few clouds,33
94,33449,Saint-Médard-en-Jalles,33062,120780,"84,69622983",390,1426,"19,12",59,few clouds,33
95,33522,Talence,46278,0,"8,246602151",5612,0,"20,21",66,few clouds,33
96,33529,La Teste-de-Buch,26923,0,"175,5774415",153,0,"18,12",63,clear sky,33
97,33550,Villenave-d'Ornon,40776,138606,"21,13217345",1930,6559,"20,3",66,few clouds,33
98,34003,Agde,29504,10128,"47,94235169",615,211,"22,96",35,clear sky,34
99,34032,Béziers,81456,69224,"90,46585581",900,765,"20,47",41,few clouds,34
100,34057,Castelnau-le-Lez,25320,2087,"10,60286707",2388,197,"19,73",45,clear sky,34
101,34108,Frontignan,24040,12406,"37,76611554",637,328,"20,97",44,broken clouds,34
102,34145,Lunel,26470,0,"23,19605586",1141,0,"20,95",46,clear sky,34
103,34172,Montpellier,305743,48978,"54,46339121",5614,899,"20,71",46,clear sky,34
104,34301,Sète,45286,47268,"39,57914555",1144,1194,"20,92",45,broken clouds,34
105,35047,Bruz,20118,0,"33,28825196",604,0,"18,97",63,clear sky,35
106,35115,Fougères,21247,0,"11,78051478",1804,0,"18,34",85,overcast clouds,35
107,35238,Rennes,229178,19876,"56,53140706",4054,352,"18,8",63,clear sky,35
108,35288,Saint-Malo,48609,0,"41,75115106",1164,0,"19,01",68,overcast clouds,35
109,36044,Châteauroux,44560,0,"27,20516104",1638,0,"18,96",63,few clouds,36
110,37122,Joué-lès-Tours,38592,0,"35,29086786",1094,0,"18,19",72,clear sky,37
111,37261,Tours,140116,0,"36,49917034",3839,0,"18,03",72,clear sky,37
112,38053,Bourgoin-Jallieu,30195,34245,"25,21530556",1197,1358,"16,39",60,broken clouds,38
113,38151,Échirolles,37048,2048,"7,886171613",4698,260,"15,8",73,scattered clouds,38
114,38169,Fontaine,23134,3956,"6,751874095",3426,586,"16,16",65,scattered clouds,38
115,38185,Grenoble,159738,1332120,"18,7003371",8542,71235,"8,17",72,scattered clouds,38
116,38421,Saint-Martin-d'Hères,38708,16792,"9,523021839",4065,1763,"16,25",73,scattered clouds,38
117,38544,Vienne,31422,0,"23,05949099",1363,0,"18,56",47,clear sky,38
118,38563,Voiron,21418,238620,"22,37960153",957,10662,"16,55",61,broken clouds,38
119,39198,Dole,24602,390524,"41,15196515",598,9490,"17,77",42,overcast clouds,39
120,40088,Dax,22169,0,"18,89148725",1173,0,"20,15",74,scattered clouds,40
121,40192,Mont-de-Marsan,32058,347758,"35,21884203",910,9874,"19,47",63,few clouds,40
122,41018,Blois,48270,0,"41,31387178",1168,0,"18,58",75,overcast clouds,41
123,42187,Roanne,35492,9096,"16,70568316",2125,544,"17,02",70,broken clouds,42
124,42207,Saint-Chamond,35421,45872,"56,10215075",631,818,"16,02",44,clear sky,42
125,42218,Saint-Étienne,174499,163625,"81,31959807",2146,2012,"13,5",40,broken clouds,42
