com_code;code postal;Nom;com pos;lat;lon;population;forêt;K2;densité popopulation;densité de foret;temperature;humidity;weather_description;market;nb_hop;log moy;log min;log max
14327;14200;Hérouville-Saint-Clair;14200-Hérouville-Saint-Clair;49,20735606;-0,331022626;22465;0;12,47241213;1801;0;18;72;overcast clouds;5;1;140250;1;400000
14366;14100;Lisieux;14100-Lisieux;49,14666285;0,23827484;20393;0;15,23850442;1338;0;16;86;overcast clouds;5;0;209611;53;625000
15014;15000;Aurillac;15000-Aurillac;44,92452337;2,441624538;27106;2298494;29,1070332;931;78967;17;36;overcast clouds;6;0;148600;1;2064000
16015;16000;Angoulême;16000-Angoulême;45,64725851;0,145144907;42715;0;22,22219891;1922;0;18;70;scattered clouds;22;0;239148;1;8000000
17299;17300;Rochefort;17300-Rochefort;45,94323445;-0,972356446;23726;1923;22,79494563;1041;84;15;85;overcast clouds;8;0;2096061;1;28370000
17300;17000;La Rochelle;17000-La Rochelle;46,1620644;-1,174657028;80610;0;33,00854104;2442;0;16;79;broken clouds;12;0;462751;100;5500000
17415;17100;Saintes;17100-Saintes;45,74223002;-0,649623036;26906;0;47,18873216;570;0;18;84;overcast clouds;19;0;208532;1;2600000
18033;18000;Bourges;18000-Bourges;47,0749572;2,404171376;65723;260910;73,96973601;889;3527;19;78;overcast clouds;22;0;139539;100;1200000
18279;18100;Vierzon;18100-Vierzon;47,23688361;2,079075705;25808;3277565;81,24264418;318;40343;19;77;overcast clouds;1;0;121073;1;1900000
19031;19100;Brive-la-Gaillarde;19100-Brive-la-Gaillarde;45,14358307;1,519368361;47845;0;48,78070868;981;0;21;17;broken clouds;5;0;173325;1;1500000
21054;21200;Beaune;21200-Beaune;47,02551894;4,83767986;20694;846546;33,57610968;616;25213;15;76;overcast clouds;6;0;446665;1;6954033
21231;21000;Dijon;21000-Dijon;47,3229438;5,037888059;162650;227814;45,38766886;3584;5019;17;39;clear sky;47;3;222346;1;3700000
22113;22300;Lannion;22300-Lannion;48,74334967;-3,461597997;21154;0;55,00656857;385;0;19;52;clear sky;78;0;160371;1;675000
22278;22000;Saint-Brieuc;22000-Saint-Brieuc;48,51498061;-2,761545528;45614;8284;22,13261265;2061;374;18;72;broken clouds;4;0;170230;1;890000
24037;24100;Bergerac;24100-Bergerac;44,85437519;0,486529423;27073;10860;56,38179435;480;193;20;60;few clouds;10;1;204500;500;1044471,75
24322;24000;Périgueux;24000-Périgueux;45,19187049;0,71182555;31061;0;10,21043366;3042;0;20;62;broken clouds;11;0;260331;1;11920052
25056;25000;Besançon;25000-Besançon;47,25538722;6,019486965;122463;235095;70,79440938;1730;3321;15;73;overcast clouds;20;1;1102732;1;1800000
25388;25200;Montbéliard;25200-Montbéliard;47,51551698;6,791481474;26098;84162;16,47554466;1584;5108;16;75;overcast clouds;3;0;211856;1;5880000
26058;26500;Bourg-lès-Valence;26500-Bourg-lès-Valence;44,96510942;4,894116364;20120;296020;20,19252753;996;14660;17;56;clear sky;0;0;253031;1;2000000
26198;26200;Montélimar;26200-Montélimar;44,55408457;4,748693878;41525;144636;45,69039646;909;3166;18;61;broken clouds;1;0;387673;1;13600000
26281;26100;Romans-sur-Isère;26100-Romans-sur-Isère;45,0547532;5,03797756;33583;196640;33,52383491;1002;5866;16;57;clear sky;0;0;203338;1;1800000
26362;26000;Valence;26000-Valence;44,92298117;4,914440131;65728;82110;36,7422104;1789;2235;19;45;clear sky;2;0;308262;1;31600000
27229;27000;Évreux;27000-Évreux;49,02015421;1,141644125;48565;3729;30,60543359;1587;122;19;63;overcast clouds;11;2;173388;1;1640000
27681;27200;Vernon;27200-Vernon;49,08797288;1,485012828;25137;22550;39,91548571;630;565;8;62;overcast clouds;8;1;242210;50;3520000
28085;28000;Chartres;28000-Chartres;48,44714649;1,505706106;39447;0;19,26693077;2047;0;17;79;overcast clouds;9;0;274954;1;5993100
28134;28100;Dreux;28100-Dreux;48,74852032;1,359318541;31362;0;27,91855955;1123;0;17;85;overcast clouds;36;0;343137;1;4100001
29019;29200;Brest;29200-Brest;48,40049978;-4,502790785;142234;0;55,74498921;2552;0;12;53;clear sky;78;1;226813;1;2940000
29039;29900;Concarneau;29900-Concarneau;47,896626;-3,907168718;21469;0;45,69728924;470;0;16;76;broken clouds;17;0;234919;1;656741
29232;29000;Quimper;29000-Quimper;47,99714252;-4,091119445;65875;0;94,35290821;698;0;17;67;clear sky;58;1;175517;100;830000
2A004;20000;Ajaccio;20000-Ajaccio;41,93479266;8,70132276;74632;187929;74,79744373;998;2513;15;68;clear sky;1;0;2277923;1000;20000000
2B033;20200;Bastia;20200-Bastia;42,68647688;9,425021333;49376;35945;18,3092563;2697;1963;19;61;clear sky;0;0;208338;1;1150000
30007;30100;Alès;30100-Alès;44,12500991;4,088285013;44455;0;22,52710693;1973;0;19;60;broken clouds;11;0;178736;1;929792,25
30189;30000;Nîmes;30000-Nîmes;43,84493839;4,34806797;150335;120972;155,0428317;970;780;18;42;clear sky;144;1;242964;160;4500000
31069;31700;Blagnac;31700-Blagnac;43,64218679;1,378869411;26956;8526;16,43872834;1640;519;19;48;clear sky;3;0;2098619;1;37250000
31149;31770;Colomiers;31770-Colomiers;43,61155151;1,327002184;40627;13696;20,110222;2020;681;19;48;clear sky;8;0;163774;1;680084
31157;31270;Cugnaux;31270-Cugnaux;43,54492112;1,342862238;20601;0;12,38544151;1663;0;19;48;clear sky;2;0;217793;1;805000
31395;31600;Muret;31600-Muret;43,44910778;1,307846794;25628;6150;55,29724751;463;111;17;55;broken clouds;3;0;256941;1;1696520,8
31424;31830;Plaisance-du-Touch;31830-Plaisance-du-Touch;43,55759164;1,285858118;20320;0;25,43701453;799;0;19;48;clear sky;3;0;274477;1;1200000
31555;31000;Toulouse;31000-Toulouse;43,59638143;1,431672934;509200;136692;112,6117326;4522;1214;19;48;clear sky;108;3;640605;1;54800000
31557;31170;Tournefeuille;31170-Tournefeuille;43,57819186;1,335006978;30029;21042;17,37474777;1728;1211;19;48;clear sky;5;0;364121;1;3463000
32013;32000;Auch;32000-Auch;43,65343004;0,57519025;24115;6540;70,07768174;344;93;18;69;scattered clouds;12;0;293483;1;1330500
33039;33130;Bègles;33130-Bègles;44,80160091;-0,547755768;31161;32310;10,84191745;2874;2980;20;66;few clouds;6;0;342053;1590;1947600
