uo_lib;nom_court;type_d_etablissement;secteur_d_etablissement;url;coordonnees;lat;lon;element_wikidata;date_creation;dep_id;dep_nom;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2022
École supérieure des techniques aéronautiques et de construction automobile;ESTACA;École;privé;http://www,estaca,fr/;48,787656,2,041412;48.7876;2.041412;https://www,wikidata,org/entity/Q3578506;1925;D078;Yvelines;78066;Montigny-le-Bretonneux;France;
École des hautes études commerciales de Paris;HEC Paris;École;privé;https://www,hec,edu/fr;48,75673,2,16757;48.7567;2.16757;https://www,wikidata,org/entity/Q273535;1881;D078;Yvelines;78351;Jouy-en-Josas CEDEX;France;
Université de Picardie Jules-Verne;;Université;public;https://www,u-picardie,fr/;49,87584,2,26446;49.8758;2.26446;https://www,wikidata,org/entity/Q947747;01/01/1971;D080;Somme;80025;AMIENS CEDEX 1;France;27267
Institut national universitaire Jean-François Champollion;INU Albi;Autre établissement;public;https://www,univ-jfc,fr/;43,92,2,139;43.92;2.139;https://www,wikidata,org/entity/Q929515;18/04/2002;D081;Tarn;81012;Albi CEDEX 9;France;3667
ISEN Yncréa Méditerranée;Yncréa Méditerranée;École;privé;http://www,yncrea-mediterranee,fr/;43,12073,5,93921;43.1207;5.93921;https://www,wikidata,org/entity/Q51652036;;D083;Var;83000;Toulon;France;
Université de Toulon;Université Toulon;Université;public;http://www,univ-tln,fr/;43,1369,6,01684;43.1369;6.01684;https://www,wikidata,org/entity/Q1816857;01/10/1979;D083;Var;83041;TOULON CEDEX 9;France;10010
Avignon Université;;Université;public;https://univ-avignon,fr/;43,95005,4,81789;43.9500;4.81789;https://www,wikidata,org/entity/Q2033119;26/07/1984;D084;Vaucluse;84029;Avignon CEDEX 1;France;6346
Institut catholique de Vendée;ICES;École;privé;https://ices,fr/;46,67251,-1,41955;46.6725;-1.41955;https://www,wikidata,org/entity/Q3151861;01/01/1990;D085;Vendée;85017;La Roche-sur-Yon CEDEX;France;
Université de Poitiers;Université Poitiers;Université;public;https://www,univ-poitiers,fr/;46,58596,0,34601;46.5859;0.34601;https://www,wikidata,org/entity/Q661056;1431;D086;Vienne;86073;Poitiers CEDEX 9;France;27193
École nationale supérieure de mécanique et d'aérotechnique de Poitiers;;École;public;https://www,ensma,fr/;46,661,0,362013;46.661;0.362013;https://www,wikidata,org/entity/Q391044;03/04/1948;D086;Vienne;86961;Futuroscope Chasseneuil CEDEX;France;768
Institut d'ingénierie informatique de Limoges;3IL;École;privé;https://www,3il-ingenieurs,fr/;45,81879933351791,1,2718766927719118;45.8187;1.27187669277191;https://www,wikidata,org/entity/Q3151931;06/01/1987;D087;Haute-Vienne;87015;Limoges;France;
Université de Limoges;;Université;public;https://www,unilim,fr/;45,82604,1,25853;45.8260;1.25853;https://www,wikidata,org/entity/Q2661290;01/01/1971;D087;Haute-Vienne;87032;Limoges CEDEX 01;France;16096
École supérieure des technologies et des affaires de Belfort;ESTA Belfort;École;privé;https://www,esta-groupe,fr/;47,6403207998,6,86085341826;47.6403;6.86085341826;https://www,wikidata,org/entity/Q3578507;1986-09;D090;Territoire de Belfort;90004;BELFORT CEDEX;France;
Université de technologie de Belfort-Montbéliard;;École;public;http://www,utbm,fr/;47,5871,6,86586;47.5871;6.86586;https://www,wikidata,org/entity/Q2399264;16/01/1999;D090;Territoire de Belfort;90010;Belfort Cedex;France;2455
Université d'Évry-Val-d'Essonne;;Université;public;https://www,univ-evry,fr/;48,62425,2,42738;48.6242;2.42738;https://www,wikidata,org/entity/Q1531014;26/07/1991;D091;Essonne;91000;Évry-Courcouronnes;France;6328
École nationale supérieure d'informatique pour l'industrie et l'entreprise;;École;public;https://www,ensiie,fr/;48,6262,2,43202;48.6262;2.43202;https://www,wikidata,org/entity/Q3578204;01/08/2006;D091;Essonne;91025;Évry-Courcouronnes Cedex;France;516
Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school;;Grand établissement;public;https://www,imt,fr/;48,7132,2,19972;48.7132;2.19972;https://www,wikidata,org/entity/Q7885718;01/03/2012;D091;Essonne;91120;Palaiseau;France;
Institut polytechnique de Paris;IP Paris;École;public;https://www,ip-paris,fr/;48,71317,2,21022;48.7131;2.21022;https://www,wikidata,org/entity/Q48759778;03/06/2019;D091;Essonne;91128;Palaiseau CEDEX;France;
Université Paris-Saclay;;Université;public;https://www,universite-paris-saclay,fr/;48,709629,2,170077;48.7096;2.170077;https://www,wikidata,org/entity/Q109409389;07/11/2019;D091;Essonne;91190;Gif-sur-Yvette;France;46798
Institut national des sciences et techniques nucléaires;INSTN;École;public;http://www-instn,cea,fr/;48,723847,2,153444;48.7238;2.153444;https://www,wikidata,org/entity/Q3152438;1956;D091;Essonne;91191;GIF SUR YVETTE CEDEX;France;
Université Paris Nanterre;Paris Nanterre;Université;public;https://www,parisnanterre,fr/;48,90329925253182,2,213155031204224;48.9032;2.21315503120422;https://www,wikidata,org/entity/Q1394262;01/01/1971;D092;Hauts-de-Seine;92001;Nanterre CEDEX;France;30613
CESI;;École;privé;https://www,cesi,fr/;48,88976,2,24012;48.8897;2.24012;https://www,wikidata,org/entity/Q30255548;09/11/1958;D092;Hauts-de-Seine;92074;Paris La Défense;France;
Institut national supérieur de formation et de recherche pour l'éducation inclusive;INSEI;École;public;http://www,inshea,fr/;48,86853,2,21315;48.8685;2.21315;https://www,wikidata,org/entity/Q3152454;01/01/2006;D092;Hauts-de-Seine;92150;Suresnes;France;296
École supérieure de fonderie et de forge;ESFF;École;privé;http://www,esff,fr/;48,822532,2,224391;48.8225;2.224391;https://www,wikidata,org/entity/Q3578445;01/01/1923;D092;Hauts-de-Seine;92310;SEVRES;France;
École nationale supérieure du pétrole et des moteurs;IFP school;École;public;https://www,ifp-school,com/;48,877622,2,172404;48.8776;2.172404;https://www,wikidata,org/entity/Q2732297;13/10/1954;D092;Hauts-de-Seine;92852;RUEIL MALMAISON CEDEX;France;
ESIEE Paris;;École;privé;https://www,esiee,fr/;48,83999,2,58392;48.8399;2.58392;https://www,wikidata,org/entity/Q3046118;01/03/1968;D093;Seine-Saint-Denis;93162;Noisy-le-Grand CEDEX;France;
Université Paris 8 - Vincennes - Saint-Denis;Paris VIII;Université;public;http://www,univ-paris8,fr/;48,94546189184585,2,3625862598419194;48.9454;2.36258625984191;https://www,wikidata,org/entity/Q1194988;01/01/1971;D093;Seine-Saint-Denis;93200;Saint-Denis;France;21872
École nationale supérieure Louis Lumière;ENS Louis Lumière;École;public;http://www,ens-louis-lumiere,fr/;48,922189,2,335657;48.9221;2.335657;https://www,wikidata,org/entity/Q273466;1926;D093;Seine-Saint-Denis;93200;Saint-Denis;France;144
ISAE-Supméca;;École;public;http://www,supmeca,fr/;48,9198,2,33287;48.9198;2.33287;https://www,wikidata,org/entity/Q1267711;11/10/1990;D093;Seine-Saint-Denis;93400;Saint-Ouen-sur-Seine;France;594
Université Sorbonne Paris Nord;;Université;public;http://www,univ-paris13,fr/;48,95793,2,34071;48.9579;2.34071;https://www,wikidata,org/entity/Q1780212;01/01/1971;D093;Seine-Saint-Denis;93430;Villetaneuse;France;21942
Université Paris-Est Créteil;;Université;public;https://www,u-pec,fr/;48,78852,2,4437;48.7885;2.4437;https://www,wikidata,org/entity/Q980688;01/01/1971;D094;Val-de-Marne;94010;Créteil CEDEX;France;36957
École spéciale de mécanique et d'électricité;ESME Sudria;École;privé;https://www,esme,fr/;48,81413,2,392969;48.8141;2.392969;https://www,wikidata,org/entity/Q1572655;1905;D094;Val-de-Marne;94200;IVRY SUR SEINE;France;
Institut polytechnique des sciences avancées;IPSA;École;privé;https://www,ipsa,fr/;48,814007,2,393909;48.8140;2.393909;https://www,wikidata,org/entity/Q183213;01/09/1963;D094;Val-de-Marne;94200;IVRY SUR SEINE;France;
EPF - École d'ingénieurs;EPF;École;privé;http://www,epf,fr/;48,79218,2,329213;48.7921;2.329213;https://www,wikidata,org/entity/Q3046044;1925;D094;Val-de-Marne;94230;Cachan;France;
École spéciale des travaux publics, du bâtiment et de l'industrie;ESTP;École;privé;http://www,estp,fr/;48,79422078629043,2,328532934188843;48.7942;2.32853293418884;https://www,wikidata,org/entity/Q273483;1891;D094;Val-de-Marne;94230;Cachan;France;
École supérieure d'ingénieurs des travaux de la construction de Paris;ESITC Paris;École;privé;https://www,esitc-paris,fr/fr;48,80497,2,3256;48.8049;2.3256;https://www,wikidata,org/entity/Q3578412;1992;D094;Val-de-Marne;94234;Arcueil CEDEX;France;
École pour l'informatique et les techniques avancées;EPITA;École;privé;https://www,epita,fr/;48,815598,2,362943;48.8155;2.362943;https://www,wikidata,org/entity/Q1702850;1984;D094;Val-de-Marne;94276;LE KREMLIN BICETRE CEDEX;France;
École nationale vétérinaire d'Alfort;;École;public;https://www,vet-alfort,fr/;48,81474,2,42152;48.8147;2.42152;https://www,wikidata,org/entity/Q273600;1765;D094;Val-de-Marne;94700;Maisons-Alfort CEDEX;France;
Institut Sup'Biotech de Paris;Sup'Biotech;École;privé;https://www,supbiotech,fr/;48,798078,2,35715;48.7980;2.35715;https://www,wikidata,org/entity/Q1822570;2003;D094;Val-de-Marne;94800;Villejuif;France;
CY Cergy Paris Université;;Université;public;https://www,cyu,fr/;49,03889,2,07415;49.0388;2.07415;https://www,wikidata,org/entity/Q74452784;01/11/2019;D095;Val-d'Oise;95011;Cergy-Pontoise CEDEX;France;23569
École nationale supérieure de l'électronique et de ses applications de Cergy;;École;public;https://www,ensea,fr/fr;49,03937306943779,2,0727896690368657;49.0393;2.07278966903686;https://www,wikidata,org/entity/Q2707341;1975;D095;Val-d'Oise;95014;Cergy Pontoise CEDEX;France;840
École supérieure des sciences économiques et commerciales;;École;privé;https://www,essec,edu/fr/;49,03397,2,078427;49.0339;2.078427;https://www,wikidata,org/entity/Q273642;1907;D095;Val-d'Oise;95021;CERGY PONTOISE CEDEX;France;
ECAM-EPMI;ECAM-EPMI;École;privé;https://www,ecam-epmi,fr/;49,031763,2,074459;49.0317;2.074459;https://www,wikidata,org/entity/Q3577775;1992;D095;Val-d'Oise;95092;Cergy-Pontoise CEDEX;France;
École de biologie industrielle;EBI;École;privé;https://ebi-edu,com/fr/;49,032934,2,065594;49.0329;2.065594;https://www,wikidata,org/entity/Q3577829;1992;D095;Val-d'Oise;95094;Cergy Pontoise CEDEX;France;
ESIEE-IT;;École;privé;https://www,esiee-it,fr/fr;49,043554,2,081926;49.0435;2.081926;;01/09/2020;D095;Val-d'Oise;95300;Pontoise;France;
École d'ingénieurs des sciences aérospatiales;ELISA;École;privé;http://www,elisa-aerospace,fr/;49,849388,3,287172;49.8493;3.287172;https://www,wikidata,org/entity/Q65162999;2009;D002;Aisne;02100;Saint-Quentin;France;
Université Côte d'Azur;;Université;public;https://univ-cotedazur,fr/;43,71693,7,26664;43.7169;7.26664;https://www,wikidata,org/entity/Q80186910;27/07/2019;D006;Alpes-Maritimes;06103;Nice CEDEX 2;France;29817
