uo_lib;nom_court;type_d_etablissement;secteur_d_etablissement;url;coordonnees;lat;lon;element_wikidata;date_creation;dep_id;dep_nom;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2022
École nationale supérieure de formation de l’enseignement agricole;;École;public;http://www,ensfea,fr/;43,534875,1,486908;43.5348;1.486908;https://www,wikidata,org/entity/Q3578119;;D031;Haute-Garonne;31326;CASTANET TOLOSAN CEDEX;France;
École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine;Bordeaux Sciences Agro;École;public;https://www,agro-bordeaux,fr/;44,792718,-0,608576;44.7927;-0.608576;https://www,wikidata,org/entity/Q3578255;05/07/1963;D033;Gironde;33175;Gradignan CEDEX;France;
Université de Bordeaux;UBx;Université;public;https://www,u-bordeaux,fr/;44,809966,-0,596578;44.8099;-0.596578;https://www,wikidata,org/entity/Q13344;01/01/2014;D033;Gironde;33405;Talence CEDEX;France;45065
Bordeaux INP;;Grand établissement;public;https://www,ipb,fr/;44,80572,-0,60506;44.8057;-0.60506;https://www,wikidata,org/entity/Q3152470;01/04/2009;D033;Gironde;33405;Talence;France;2612
KEDGE Business School;KEDGE BS;École;privé;https://kedge,edu/;44,79622,-0,600218;44.7962;-0.600218;https://www,wikidata,org/entity/Q16647785;2013;D033;Gironde;33405;TALENCE CEDEX;France;
Université Bordeaux Montaigne;;Université;public;http://www,u-bordeaux-montaigne,fr/;44,8015,-0,615058;44.8015;-0.615058;https://www,wikidata,org/entity/Q13342;01/01/1971;D033;Gironde;33607;Pessac Cedex;France;14139
Sciences Po Bordeaux;IEP de Bordeaux;Autre établissement;public;https://www,sciencespobordeaux,fr/;44,79886,-0,61409;44.7988;-0.61409;https://www,wikidata,org/entity/Q1252062;06/05/1948;D033;Gironde;33607;Pessac CEDEX;France;2297
Université de Montpellier;;Université;public;https://www,umontpellier,fr;43,61494,3,87347;43.6149;3.87347;;21/09/2021;D034;Hérault;34090;Montpellier;France;45225
MBS;;École;privé;http://www,montpellier-bs,com/;43,621491,3,833542;43.6214;3.833542;https://www,wikidata,org/entity/Q3117571;1992;D034;Hérault;34185;MONTPELLIER CEDEX 4;France;
Université Paul-Valéry - Montpellier 3;;Université;public;https://www,univ-montp3,fr/;43,63279,3,86924;43.6327;3.86924;https://www,wikidata,org/entity/Q2912244;01/01/1971;D034;Hérault;34199;Montpellier CEDEX 5;France;20916
Université Rennes 2;Rennes II;Université;public;http://www,univ-rennes2,fr/;48,12064,-1,70333;48.1206;-1.70333;https://www,wikidata,org/entity/Q459026;01/01/1971;D035;Ille-et-Vilaine;35043;Rennes CEDEX;France;20936
Rennes School of Business;Rennes SB;École;privé;https://www,rennes-sb,fr/;48,127773,-1,69295;48.1277;-1.69295;https://www,wikidata,org/entity/Q3578440;1990;D035;Ille-et-Vilaine;35065;RENNES CEDEX;France;
Institut catholique de Rennes;;École;privé;https://www,icrennes,org/;48,04855,-1,74461;48.0485;-1.74461;https://www,wikidata,org/entity/Q3151862;1989;D035;Ille-et-Vilaine;35170;BRUZ;France;
ECAM Rennes Louis de Broglie;ECAM Rennes;École;privé;http://www,ecam-rennes,fr/;48,04692,-1,74357;48.0469;-1.74357;https://www,wikidata,org/entity/Q3045829;1991;D035;Ille-et-Vilaine;35170;Bruz;France;
Université de Rennes;UNIVRENNES;Université;public;https://www,univ-rennes,fr/;48,114339,-1,636424;48.1143;-1.636424;https://www,wikidata,org/entity/Q1987282;28/11/2022;D035;Ille-et-Vilaine;35700;Rennes;France;31759
Université de Tours;Université Tours;Université;public;https://www,univ-tours,fr/;47,38376,0,67367;47.3837;0.67367;https://www,wikidata,org/entity/Q494335;01/01/1971;D037;Indre-et-Loire;37020;Tours CEDEX 1;France;24394
Université Grenoble Alpes;;Grand établissement;public;https://www,univ-grenoble-alpes,fr/;45,19159,5,76726;45.1915;5.76726;https://www,wikidata,org/entity/Q945876;04/11/2019;D038;Isère;38400;Saint-Martin-d'Hères;France;52369
Université Jean Monnet;;Université;public;https://www,univ-st-etienne,fr/fr/index,html;45,42472,4,39264;45.4247;4.39264;https://www,wikidata,org/entity/Q623154;27/03/1969;D042;Loire;42023;Saint-Étienne CEDEX 2;France;16742
Nantes Université;;Université;public;https://www,univ-nantes,fr/;47,209413,-1,555908;47.2094;-1.555908;https://www,wikidata,org/entity/Q259388;04/10/2021;D044;Loire-Atlantique;44000;Nantes;France;41188
Audencia Business School;Audencia;École;privé;https://www,audencia,com/;47,20614754106199,-1,5749502182006836;47.2061;-1.57495021820068;https://www,wikidata,org/entity/Q1968395;1900;D044;Loire-Atlantique;44105;Nantes CEDEX 4;France;
École supérieure du bois;ESB Nantes;École;privé;https://www,ecoledubois,fr/;47,284,-1,514663;47.284;-1.514663;https://www,wikidata,org/entity/Q3578509;01/01/1934;D044;Loire-Atlantique;44306;NANTES CEDEX 3;France;
École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique;;Grand établissement;public;https://www,oniris-nantes,fr/;47,28936365193973,-1,5242886543273928;47.2893;-1.52428865432739;https://www,wikidata,org/entity/Q3578268;01/01/2010;D044;Loire-Atlantique;44307;Nantes CEDEX 03;France;
Université d'Orléans;;Université;public;https://www,univ-orleans,fr/fr;47,85065,1,93397;47.8506;1.93397;https://www,wikidata,org/entity/Q13334;01/01/1971;D045;Loiret;45067;Orléans CEDEX 2;France;17911
École d'ingénieur d'agro-développement international;ISTOM;École;privé;http://www,istom,fr/;47,4776,-0,60052;47.4776;-0.60052;https://www,wikidata,org/entity/Q3577763;1908;D049;Maine-et-Loire;49000;Angers;France;
École supérieure des sciences commerciales d'Angers;;École;privé;https://www,essca,fr/;47,47636,-0,60065;47.4763;-0.60065;https://www,wikidata,org/entity/Q3578499;01/01/1909;D049;Maine-et-Loire;49003;Angers CEDEX 01;France;
École supérieure d’agriculture;ESA;École;privé;https://www,groupe-esa,com/;47,458784,-0,543657;47.4587;-0.543657;https://www,wikidata,org/entity/Q3578375;1898;D049;Maine-et-Loire;49007;ANGERS CEDEX 01;France;
Facultés libres de l'Ouest;FLO;École;privé;https://www,uco,fr/fr;47,46273,-0,54616;47.4627;-0.54616;https://www,wikidata,org/entity/Q1476738;1875;D049;Maine-et-Loire;49008;Angers CEDEX 01;France;
Université d'Angers;;Université;public;https://www,univ-angers,fr/;47,47687,-0,549657;47.4768;-0.549657;https://www,wikidata,org/entity/Q1538727;01/01/1972;D049;Maine-et-Loire;49035;Angers CEDEX 1;France;24408
École supérieure d'électronique de l'Ouest;ESEO;École;privé;http://www,eseo,fr/;47,493396,-0,550804;47.4933;-0.550804;https://www,wikidata,org/entity/Q3578422;01/01/1956;D049;Maine-et-Loire;49107;Angers CEDEX 2;France;
École supérieure angevine en informatique et productique;ESAIP;École;privé;https://www,esaip,org/;47,46355710615347,-0,49745321273803716;47.4635;-0.497453212738037;https://www,wikidata,org/entity/Q3578372;1987;D049;Maine-et-Loire;49124;Saint-Barthélemy-d'Anjou;France;
Institut des relations publiques et de la communication d’Angers;Ircom;École;privé;http://www,ircom,fr/;47,44304,-0,53222;47.4430;-0.53222;https://www,wikidata,org/entity/Q74181405;1984;D049;Maine-et-Loire;49136;Les Ponts-de-Cé CEDEX;France;
Université de Reims Champagne-Ardenne;URCA;Université;public;https://www,univ-reims,fr/;49,23278,4,00825;49.2327;4.00825;https://www,wikidata,org/entity/Q2496149;01/01/1971;D051;Marne;51724;Reims CEDEX;France;23628
ICN Business School;;École;privé;https://www,icn-artem,com/;48,67419,6,17029;48.6741;6.17029;https://www,wikidata,org/entity/Q3146547;1905;D054;Meurthe-et-Moselle;54003;Nancy;France;
Université de Lorraine;;Grand établissement;public;http://www,univ-lorraine,fr/;48,69614438320864,6,176607012748719;48.6961;6.17660701274871;https://www,wikidata,org/entity/Q4173330;01/01/2012;D054;Meurthe-et-Moselle;54052;Nancy CEDEX;France;57871
Université Bretagne Sud;;Université;public;http://www,univ-ubs,fr/;47,74618,-3,39072;47.7461;-3.39072;https://www,wikidata,org/entity/Q1125958;07/02/1995;D056;Morbihan;56321;Lorient CEDEX;France;9549
École spéciale militaire de Saint-Cyr;ESM ST CYR;École;public;http://www,st-cyr,terre,defense,gouv,fr/;47,94619,-2,152742;47.9461;-2.152742;https://www,wikidata,org/entity/Q1132066;1802;D056;Morbihan;56380;GUER;France;
École supérieure d'ingénieurs des travaux de la construction de Metz;ESITC de Metz;École;privé;http://www,esitc-metz,com/;49,10042,6,21616;49.1004;6.21616;https://www,wikidata,org/entity/Q3578417;1992;D057;Moselle;57070;Metz;France;
Hautes études d'ingénieur;;École;privé;https://www,hei,fr/;50,633728,3,04502;50.6337;3.04502;https://www,wikidata,org/entity/Q3128626;1885;D059;Nord;59014;Lille CEDEX;France;
Institut catholique de Lille;;École;privé;http://www,univ-catholille,fr/;50,6330901906103,3,0467104911804204;50.6330;3.04671049118042;https://www,wikidata,org/entity/Q1477551;1973;D059;Nord;59016;Lille CEDEX;France;
Institut supérieur d'agriculture de Lille;ISA Lille;École;privé;http://www,isa-lille,fr/;50,63380812638809,3,046694397926331;50.6338;3.04669439792633;https://www,wikidata,org/entity/Q3117452;01/01/1963;D059;Nord;59046;Lille CEDEX;France;
Junia;;École;privé;https://www,junia,com/;50,63385,3,04665;50.6338;3.04665;;2013;D059;Nord;59046;Lille;France;
École des hautes études commerciales du nord;Edhec;École;privé;http://www,edhec,com/;50,67306,3,16605;50.6730;3.16605;https://www,wikidata,org/entity/Q769040;1906;D059;Nord;59057;Roubaix CEDEX 1;France;
Université Polytechnique Hauts-de-France;;Université;public;https://www,uphf,fr/;50,32622,3,51056;50.3262;3.51056;https://www,wikidata,org/entity/Q1548539;11/09/2019;D059;Nord;59313;Valenciennes CEDEX 9;France;12026
Université du Littoral Côte d’Opale;;Université;public;http://www,univ-littoral,fr/;51,039,2,37183;51.039;2.37183;https://www,wikidata,org/entity/Q3551755;15/11/1991;D059;Nord;59375;Dunkerque CEDEX;France;9413
Centrale Lille Institut;;École;public;https://centralelille,fr/;50,60648,3,13757;50.6064;3.13757;https://www,wikidata,org/entity/Q273461;1854;D059;Nord;59651;Villeneuve-d'Ascq CEDEX;France;2272
Skema Business School;Skema;École;privé;http://www,skema-bs,fr/;50,63642,3,07581;50.6364;3.07581;https://www,wikidata,org/entity/Q3486229;18/11/2009;D059;Nord;59777;Euralille;France;
Institut d'économie scientifique et de gestion;IÉSEG;École;privé;https://www,ieseg,fr/;50,63538,3,04488;50.6353;3.04488;https://www,wikidata,org/entity/Q3156522;1964;D059;Nord;59800;Lille;France;
Université de Lille;;Université;public;https://www,univ-lille,fr;50,631794,3,07526;50.6317;3.07526;;21/09/2021;D059;Nord;59800;Lille;France;74634
Institut polytechnique UniLaSalle;UniLaSalle;École;privé;https://www,unilasalle,fr/;49,45971,2,06792;49.4597;2.06792;https://www,wikidata,org/entity/Q3152468;01/09/2006;D060;Oise;60026;Beauvais CEDEX;France;
École supérieure de chimie organique et minérale;;École;privé;https://www,escom,fr/;49,40196,2,80246;49.4019;2.80246;https://www,wikidata,org/entity/Q3578426;21/06/1969;D060;Oise;60200;Compiègne;France;
Université de Technologie de Compiègne;;École;public;https://www,utc,fr/;49,40024,2,800108;49.4002;2.800108;https://www,wikidata,org/entity/Q622906;02/10/1972;D060;Oise;60203;Compiègne CEDEX;France;4367
Université d'Artois;;Université;public;http://www,univ-artois,fr/;50,2847,2,79112;50.2847;2.79112;https://www,wikidata,org/entity/Q475504;15/11/1991;D062;Pas-de-Calais;62030;Arras CEDEX;France;11888
Université Clermont Auvergne;;Université;public;;45,77056,3,08791;45.7705;3.08791;https://www,wikidata,org/entity/Q1319786;09/12/2020;D063;Puy-de-Dôme;63001;Clermont-Ferrand CEDEX 1;France;32741
École nationale supérieure d'architecture de Clermont-Ferrand;ENSACF;École;public;http://www,clermont-fd,archi,fr/;45,80157,3,10341;45.8015;3.10341;https://www,wikidata,org/entity/Q3578176;;D063;Puy-de-Dôme;63100;Clermont-Ferrand;France;
Université de Pau et des Pays de l'Adour;;Université;public;https://www,univ-pau,fr/;43,31372,-0,36509;43.3137;-0.36509;https://www,wikidata,org/entity/Q572968;01/01/1971;D064;Pyrénées-Atlantiques;64012;Pau CEDEX;France;12108
École supérieure des technologies industrielles avancées;ESTIA;École;privé;http://www,estia,fr/;43,44613,-1,55395;43.4461;-1.55395;https://www,wikidata,org/entity/Q3578510;1996;D064;Pyrénées-Atlantiques;64210;Bidart;France;
Université de technologie Tarbes Occitanie Pyrénées;;École;public;;43,225181,0,05325;43.2251;0.05325;;27/11/2023;D065;Hautes-Pyrénées;65016;Tarbes CEDEX;France;
Université de Perpignan Via Domitia;;Université;public;https://www,univ-perp,fr/;42,6844,2,89854;42.6844;2.89854;https://www,wikidata,org/entity/Q304872;01/10/1979;D066;Pyrénées-Orientales;66860;Perpignan CEDEX 9;France;8038
Institut national du service public;;École;public;https://insp,gouv,fr/;48,581336,7,737568;48.5813;7.737568;https://www,wikidata,org/entity/Q109039648;03/12/2021;D067;Bas-Rhin;67000;Strasbourg;France;
École nationale du génie de l'eau et de l'environnement de Strasbourg;;École;public;https://engees,unistra,fr/;48,580797,7,758744;48.5807;7.758744;https://www,wikidata,org/entity/Q3578160;1952;D067;Bas-Rhin;67000;Strasbourg;France;
École nationale supérieure d'architecture de Strasbourg;ENSAS;École;public;http://www,strasbourg,archi,fr/;48,58582,7,73711;48.5858;7.73711;https://www,wikidata,org/entity/Q3578190;1922;D067;Bas-Rhin;67068;STRASBOURG CEDEX;France;
Université de Strasbourg;;Université;public;http://www,unistra,fr/;48,57872,7,76465;48.5787;7.76465;https://www,wikidata,org/entity/Q157575;01/01/2009;D067;Bas-Rhin;67081;Strasbourg CEDEX;France;50832
Institut national des sciences appliquées de Strasbourg;INSA de Strasbourg;École;public;https://www,insa-strasbourg,fr/fr/;48,582266,7,764893;48.5822;7.764893;https://www,wikidata,org/entity/Q521036;05/03/2003;D067;Bas-Rhin;67084;Strasbourg CEDEX;France;2007
Université de Haute-Alsace;;Université;public;https://www,uha,fr/;47,7323,7,31485;47.7323;7.31485;https://www,wikidata,org/entity/Q280183;10/10/1975;D068;Haut-Rhin;68093;Mulhouse CEDEX;France;9745
Institut catholique de Lyon;UCLY;École;privé;http://www,ucly,fr/;45,74658,4,82637;45.7465;4.82637;https://www,wikidata,org/entity/Q8618;1875;D069;Rhône;69002;Lyon;France;
Sciences Po Lyon;IEP de Lyon;Autre établissement;public;https://www,sciencespo-lyon,fr/;45,7471,4,8354;45.7471;4.8354;https://www,wikidata,org/entity/Q2253344;06/05/1948;D069;Rhône;69007;Lyon;France;1726
Institut textile et chimique;ITECH;École;privé;http://www,itech,fr/;45,7860356236494,4,767680168151856;45.7860;4.76768016815185;https://www,wikidata,org/entity/Q3152645;1988;D069;Rhône;69134;Écully CEDEX;France;
Centrale Lyon;EC Lyon;École;public;https://www,ec-lyon,fr/;45,78299,4,76927;45.7829;4.76927;https://www,wikidata,org/entity/Q10177;1857;D069;Rhône;69134;Écully CEDEX;France;2920
École nationale des travaux publics de l'État;;École;public;http://www,entpe,fr/;45,77840382390363,4,92339849472046;45.7784;4.92339849472046;https://www,wikidata,org/entity/Q3578157;1954;D069;Rhône;69256;Vaulx-en-Velin CEDEX;France;
Vet Agro Sup;Vet Agro Sup;Grand établissement;public;http://www,vetagro-sup,fr/;45,793314788437215,4,711171388626099;45.7933;4.71117138862609;https://www,wikidata,org/entity/Q3151920;01/01/2010;D069;Rhône;69280;Marcy-l'Étoile;France;
École catholique des arts et métiers;ECAM Lasalle;École;privé;http://www,ecam,fr/;45,76391,4,82518;45.7639;4.82518;https://www,wikidata,org/entity/Q3577727;01/01/1900;D069;Rhône;69321;Lyon CEDEX 05;France;
École nationale supérieure des arts et techniques du théâtre;;École;public;http://www,ensatt,fr/;45,75331,4,81132;45.7533;4.81132;https://www,wikidata,org/entity/Q3578242;15/04/1941;D069;Rhône;69322;Lyon CEDEX 05;France;203
École normale supérieure de Lyon;ENS de Lyon;École;public;http://www,ens-lyon,eu/;45,7337,4,83376;45.7337;4.83376;https://www,wikidata,org/entity/Q10159;01/01/2010;D069;Rhône;69342;Lyon CEDEX 07;France;2297
Institut supérieur d’agriculture Rhône-Alpes;Isara-Lyon;École;privé;https://www,isara,fr/;45,727895,4,836377;45.7278;4.836377;https://www,wikidata,org/entity/Q3152527;1968;D069;Rhône;69364;LYON CEDEX 07;France;
Université Lumière - Lyon 2;Lyon II;Université;public;http://www,univ-lyon2,fr/;45,75061375319093,4,837181568145753;45.7506;4.83718156814575;https://www,wikidata,org/entity/Q4041;28/07/1973;D069;Rhône;69365;Lyon Cedex 07;France;25268
Université Jean Moulin - Lyon 3;Lyon III;Université;public;http://www,univ-lyon3,fr/;45,747027,4,860547;45.7470;4.860547;https://www,wikidata,org/entity/Q4027;28/07/1973;D069;Rhône;69372;Lyon CEDEX 08;France;25035
École supérieure de chimie physique électronique de Lyon;CPE Lyon;École;privé;http://www,cpe,fr/;45,78415,4,868928;45.7841;4.868928;https://www,wikidata,org/entity/Q10178;1994;D069;Rhône;69616;Villeurbanne CEDEX;France;
Institut national des sciences appliquées de Lyon;INSA de Lyon;École;public;http://www,insa-lyon,fr/;45,78262388935692,4,878010153770448;45.7826;4.87801015377044;https://www,wikidata,org/entity/Q1633859;12/11/1957;D069;Rhône;69621;Villeurbanne Cedex;France;6067
Université Claude Bernard - Lyon 1;Lyon I;Université;public;https://www,univ-lyon1,fr/;45,77962,4,86518;45.7796;4.86518;https://www,wikidata,org/entity/Q4032;01/01/1971;D069;Rhône;69622;VilleurbanneCEDEX;France;39542
École nationale supérieure des sciences de l'information et des bibliothèques;;Grand établissement;public;https://www,enssib,fr/;45,7803,4,86229;45.7803;4.86229;https://www,wikidata,org/entity/Q2791269;13/01/1992;D069;Rhône;69623;Villeurbanne CEDEX;France;247
ISMANS;;École;privé;https://ismans,cesi,fr/;48,019687,0,157589;48.0196;0.157589;https://www,wikidata,org/entity/Q3152596;04/03/1987;D072;Sarthe;72000;Le Mans;France;
Le Mans Université;;Université;public;http://www,univ-lemans,fr/;48,0148,0,159251;48.0148;0.159251;https://www,wikidata,org/entity/Q834825;01/10/1977;D072;Sarthe;72085;Le Mans CEDEX 9;France;9823
Université Savoie Mont Blanc;;Université;public;https://www,univ-smb,fr/;45,56676,5,9175;45.5667;5.9175;https://www,wikidata,org/entity/Q2496158;01/10/1979;D073;Savoie;73000;Chambéry;France;13505
Institut national du patrimoine;;École;public;http://www,inp,fr/;48,86661,2,33907;48.8666;2.33907;https://www,wikidata,org/entity/Q3152445;18/05/1990;D075;Paris;75002;PARIS;France;
Institut national d'histoire de l'art;;Grand établissement;public;https://www,inha,fr/fr/;48,866499,2,338842;48.8664;2.338842;https://www,wikidata,org/entity/Q3152376;15/07/2001;D075;Paris;75002;Paris;France;
IAE Paris - Sorbonne Business School;IAE de Paris;École;public;http://www,iae-paris,com/;48,83839,2,348565;48.8383;2.348565;https://www,wikidata,org/entity/Q3151899;01/01/1956;D075;Paris;75005;Paris;France;2001
Université Paris-Panthéon-Assas;Panthéon-Assas;Université;public;http://www,assas-universite,fr/;48,846806,2,344888;48.8468;2.344888;https://www,wikidata,org/entity/Q662976;29/12/2021;D075;Paris;75005;Paris;France;21695
École supérieure d'informatique électronique automatique;;École;privé;https://www,esiea,fr/;48,83788,2,352616;48.8378;2.352616;https://www,wikidata,org/entity/Q3578402;1958;D075;Paris;75005;Paris;France;
Muséum national d'histoire naturelle;;Grand établissement;public;http://www,mnhn,fr/fr;48,84202,2,35616;48.8420;2.35616;https://www,wikidata,org/entity/Q838691;1793;D075;Paris;75005;PARIS;France;420
Université Paris Cité;UP Cité;Université;public;https://u-paris,fr/;48,851906,2,340105;48.8519;2.340105;https://www,wikidata,org/entity/Q55849612;22/03/2019;D075;Paris;75006;Paris;France;58242
Université Paris sciences et lettres;Université PSL;Grand établissement;public;https://www,psl,eu/;48,85464,2,33785;48.8546;2.33785;https://www,wikidata,org/entity/Q1163431;07/11/2019;D075;Paris;75006;Paris;France;17959
École des hautes études en sciences sociales;;Grand établissement;public;https://www,ehess,fr/fr;48,850176,2,326849;48.8501;2.326849;https://www,wikidata,org/entity/Q273518;23/01/1975;D075;Paris;75006;PARIS;France;2613
École nationale supérieure d'architecture de Paris-Malaquais;ENSAPM;École;public;http://paris-malaquais,archi,fr/;48,85669993265381,2,3335433006286626;48.8566;2.33354330062866;https://www,wikidata,org/entity/Q3578184;2001-01;D075;Paris;75006;Paris;France;
Institut supérieur d'électronique de Paris;;École;privé;https://www,isep,fr/;48,84531,2,32804;48.8453;2.32804;https://www,wikidata,org/entity/Q3152556;1955;D075;Paris;75006;Paris;France;
Sorbonne Université;Sorbonne U;Université;public;https://www,sorbonne-universite,fr/;48,85114773764701,2,3403829336166386;48.8511;2.34038293361663;https://www,wikidata,org/entity/Q41497113;01/01/2018;D075;Paris;75006;PARIS;France;49020
IPAG Business School;;École;privé;https://www,ipag,fr/;48,85497,2,331248;48.8549;2.331248;https://www,wikidata,org/entity/Q24928475;1965;D075;Paris;75006;PARIS;France;
Groupe Institut catholique d'arts et métiers;Groupe ICAM;École;privé;https://www,icam,fr/;48,87961,2,328815;48.8796;2.328815;https://www,wikidata,org/entity/Q3151859;1898;D075;Paris;75009;Paris;France;
École nationale supérieure de création industrielle - Les Ateliers;Ensci-Les Ateliers;École;public;https://www,ensci,com/2017-2018-ensci-les-ateliers/;48,8584,2,36934;48.8584;2.36934;https://www,wikidata,org/entity/Q870925;08/11/1982;D075;Paris;75011;PARIS;France;
Institut national du sport, de l'expertise et de la performance;;Grand établissement;public;https://www,insep,fr/fr;48,833495221568754,2,454103231430054;48.8334;2.45410323143005;https://www,wikidata,org/entity/Q3152447;1975;D075;Paris;75012;Paris;France;
Université Sorbonne Nouvelle - Paris 3;Paris III;Université;public;http://www,univ-paris3,fr/;48,844881806752355,2,39701509475708;48.8448;2.39701509475708;https://www,wikidata,org/entity/Q571293;01/01/1971;D075;Paris;75012;Paris;France;14995
Arts et Métiers Sciences et Technologies;Arts et Métiers;Grand établissement;public;https://artsetmetiers,fr/;48,83357,2,35831;48.8335;2.35831;https://www,wikidata,org/entity/Q2570220;1780;D075;Paris;75013;Paris;France;5830
Institut français de la mode;;École;privé;https://www,ifmparis,fr/;48,84062,2,36998;48.8406;2.36998;https://www,wikidata,org/entity/Q3152284;1986;D075;Paris;75013;PARIS;France;
Institut protestant de théologie;IPT;École;privé;http://www,iptheologie,fr/index,php;48,834229,2,337221;48.8342;2.337221;https://www,wikidata,org/entity/Q3064314;1877;D075;Paris;75014;Paris;France;
École spéciale d'architecture;;École;privé;http://www,esa-paris,fr/;48,837534,2,330967;48.8375;2.330967;https://www,wikidata,org/entity/Q1140013;1865;D075;Paris;75014;Paris;France;
Facultés Libres de Philosophie et de Psychologie;IPC;École;privé;http://www,ipc-paris,fr/;48,838,2,33569;48.838;2.33569;https://www,wikidata,org/entity/Q3146792;01/01/1969;D075;Paris;75014;Paris;France;
ESCP Business School;;École;privé;;48,842394,2,317575;48.8423;2.317575;https://www,wikidata,org/entity/Q29293;1819;D075;Paris;75015;Paris;France;
École centrale d'électronique;ECE;École;privé;https://www,ece,fr/ecole-ingenieur/;48,85152,2,28683;48.8515;2.28683;https://www,wikidata,org/entity/Q3577731;1909;D075;Paris;75015;Paris;France;
